Stock Code,Company Description
ABNB,"Airbnb, Inc., together with its subsidiaries, operates a platform that enables hosts to offer stays and experiences to guests worldwide. The company's marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences. It primarily offers private rooms, primary homes, or vacation homes. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California."
ABOS,"Acumen Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, discovers and develops therapies for the treatment of Alzheimer's disease. The company focuses on advancing a targeted immunotherapy drug candidate ACU193, a humanized monoclonal antibody that is in Phase I clinical-stage to target soluble amyloid-beta oligomers. Acumen Pharmaceuticals, Inc. was incorporated in 1996 and is headquartered in Charlottesville, Virginia."
ABSI,"Absci Corporation operates as a generative AI drug creation company in the United States. Its integrated drug creation platform identifies novel drug targets and creates biotherapeutic candidates. The company was founded in 2011 and is headquartered in Vancouver, Washington."
ABUS,"Arbutus Biopharma Corporation, a biopharmaceutical company, develops novel therapeutics for chronic Hepatitis B virus (HBV) infection, SARS-CoV-2, and other coronaviruses in the United States. Its HBV product pipeline consists of AB-729, a proprietary subcutaneously-delivered RNAi therapeutic product candidate that suppresses all HBV antigens, including HBsAg expression. The company's research and development programs include AB-161, an oral HBV RNA destabilizer; AB-101, an oral PD-L1 inhibitor to reawaken patients' HBV-specific immune system; and small molecule antiviral medicines to treat coronaviruses, including COVID-19. It has licensing agreements with Gritstone Oncology, Inc; Alnylam Pharmaceuticals, Inc.; Qilu Pharmaceuticals Co, Ltd; Assembly Biosciences, Inc.; Acuitas Therapeutics, Inc.; and Antios Therapeutics, Inc. Arbutus Biopharma Corporation also has a clinical collaboration agreement with Vaccitech plc to evaluate AB-729. The company was formerly known as Tekmira Pharmaceuticals Corporation and changed its name to Arbutus Biopharma Corporation in July 2015. Arbutus Biopharma Corporation is headquartered in Warminster, Pennsylvania."
ABVC,"ABVC BioPharma, Inc., a clinical stage biopharmaceutical company, develops drugs and medical devices to fulfill unmet medical needs in the United States. The company is developing ABV-1501, which is in Phase II clinical trials a combination therapy for triple negative breast cancer; ABV-1504 has completed Phase II clinical trials for major depressive disorders; ABV-1505, which is in Phase II clinical trials for adult attention deficit hyperactivity disorder; ABV-1703, which is in Phase II clinical trials for the treatment of metastatic pancreatic cancer; ABV-1702, which is in Phase II clinical trials to treat myelodysplastic syndromes; ABV-1601 that is in Phase I/II clinical trials for treating depression in cancer patients; ABV-1701 Vitargus that is in Phase II clinical trials for the treatment of retinal detachment or vitreous hemorrhage; and ABV-1519, which is in Phase I/II clinical trials for the treatment of non-small cell lung cancer. ABVC BioPharma, Inc. has a co-development agreement with Rgene Corporation; and collaboration agreements with BioHopeKing Corporation and BioFirst Corporation. The company is based in Fremont, California. ABVC BioPharma, Inc. is a subsidiary of YuanGene Corporation."
ACAD,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization innovative medicines that address unmet medical needs in central nervous system (CNS) disorders and rare diseases. It offers NUPLAZID (pimavanserin) for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis. The company also develops Trofinetide, a novel synthetic analog of the amino-terminal tripeptide of insulin-like growth factor 1 for treatment of Rett Syndrome; Pimavanserin that is in Phase III ADVANCE-2 study to treat the negative symptoms of schizophrenia; ACP-204 for the treatment of Alzheimer's disease psychosis; antisense oligonucleotide programs; and other programs for neuropsychiatric symptoms. It has a license agreement with Neuren Pharmaceuticals Limited to develop and commercialize trofinetide for Rett syndrome and other indications; and a license and collaboration agreement with Stoke Therapeutics, Inc. to discover, develop and commercialize novel RNA-based medicines for the potential treatment of severe and rare genetic neurodevelopmental diseases of the CNS. The company was formerly known as Receptor Technologies, Inc. and changed its name ACADIA Pharmaceuticals Inc. in 1997. The company was founded in 1993 and is headquartered in San Diego, California."
ACB,"Aurora Cannabis Inc., together with its subsidiaries, produces, distributes, and sells cannabis and cannabis-derivative products in Canada and internationally. It operates through three segments: Canadian Cannabis, European Cannabis, and Plant Propagation. The company produces, distributes, and sells medical and consumer cannabis products in Canada. It is also involved in the distribution of wholesale medical cannabis in the European Union (EU); distribution of wholesale medical cannabis in various international markets, including Australia, the Caribbean, South America, and Israel; supply of propagated vegetables and ornamental plants in North America; and distribution and sale of hemp-derived cannabidiol (CBD) products. In addition, the company cultivates and sells dried cannabis, cannabis oils, capsules, edible cannabis, cannabis extracts, and soft gels, which are ingested in various ways, including smoking, vaporizing, and consumption in the form of oil, capsules, edibles, and extracts; and provides dried flowers, vapes, dried milled strains, strain-specific extracts, strain specific cannabis oils, and concentrates. Further, it offers recreational cannabis products, such as flowers, vapes, ingestibles, concentrates, extracts, and CBD products; and patient counseling and outreach services. The company's adult-use brand portfolio includes Aurora Drift, San Rafael '71, Daily Special, Whistler, Being, and Greybeard, as well as CBD brands, Reliva and KG7; and medical cannabis brands include MedReleaf, CanniMed, Aurora, Whistler Medical Marijuana Co, Pedanios, Bidiol, and CraftPlant. Aurora Cannabis Inc. is headquartered in Leduc, Canada."
ACCD,"Accolade, Inc., together with its subsidiaries, engages in the development and provision of personalized and technology-enabled solutions that help people to understand, navigate, and utilize the healthcare system and their workplace benefits in the United States. The company offers a platform with cloud-based technology and multimodal support from a team of health assistants and clinicians, including registered nurses, physician medical directors, pharmacists, behavioral health specialists, women's health specialists, case management specialists, expert medical opinion providers, and virtual primary care physicians. It also provides medical opinion and decision support services; and technology and administrative services to the medical practice PCs providing virtual primary care services. The company serves employers who provide their employees and their employees' families a single place to turn for their health, healthcare, and benefits needs. Accolade, Inc. was incorporated in 2007 and is headquartered in Seattle, Washington."
ACDC,"ProFrac Holding Corp., an integrated energy services company, provides stimulation services, proppants production, and other complementary products and services to oil and gas companies in the United States. It operates through three segments: Stimulation Services, Manufacturing, and Proppant Production. The company also manufactures and sells high horsepower pumps, valves, piping, swivels, large-bore manifold systems, seats, and fluid ends. ProFrac Holding Corp. was founded in 2016 and is headquartered in Willow Park, Texas."
ACER,"Acer Therapeutics Inc., a pharmaceutical company, focuses on the acquisition, development, and commercialization of therapies for serious rare and life-threatening diseases. The company's pipeline includes four clinical-stage candidates comprising EDSIVO for the treatment of vascular Ehlers-Danlos Syndrome in patients with a confirmed type III collagen mutation; ACER-801 for the treatment of induced Vasomotor Symptoms, post-traumatic stress disorder, and prostate cancer; and OLPRUVA, a formulation of sodium phenylbutyrate for the treatment of various inborn errors of metabolism, including urea cycle disorders and maple syrup urine disease. It has a license agreement with Sanofi to acquire worldwide rights to Osanetant, a clinical-stage, selective, and non-peptide tachykinin NK3 receptor antagonist; an option agreement with Relief for the development, regulatory approval, and commercialization of OLPRUVA; and an agreement with Emory University to acquire the worldwide intellectual property rights to a family of patents and patent applications related to the use of neurokinin receptor antagonists in managing conditioned fear and treating anxiety disorders, including post-traumatic stress disorder. The company was incorporated in 1991 and is headquartered in Newton, Massachusetts."
ACET,"Adicet Bio, Inc., a clinical stage biotechnology company, discovers and develops allogeneic gamma delta T cell therapies for cancer and other diseases. The company offers gamma delta T cells engineered with chimeric antigen receptors and chimeric adaptors to enhance selective tumor targeting, facilitate innate and adaptive anti-tumor immune response, and enhance persistence for durable activity in patients. Its lead product in pipeline includes ADI-001, which is in Phase I clinical study for the treatment of non-Hodgkin's lymphoma. The company also develops ADI-002, which is undergoing preclinical studies for the treatment of various solid tumors; and ADI-925, a novel engineered CAd gamma delta T cell product candidate targeting tumor stress ligands. Adicet Bio, Inc. is based in Boston, Massachusetts."
ACGL,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. The company's Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile and inland marine products. It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employer's liability; contract and commercial surety coverages; and collateral protection, debt cancellation, and service contract reimbursement products. This segment markets its products through a group of licensed independent retail and wholesale brokers. Its Reinsurance segment provides casualty reinsurance for third party liability exposures; marine and aviation; motor reinsurance, whole account multi-line treaties, cyber, trade credit, surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. This segment markets its reinsurance products through brokers. The company's Mortgage segment offers direct mortgage insurance and mortgage reinsurance. Arch Capital Group Ltd. founded in 1995 and is based in Pembroke, Bermuda."
ACGLN,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. The company's Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile and inland marine products. It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employer's liability; contract and commercial surety coverages; and collateral protection, debt cancellation, and service contract reimbursement products. This segment markets its products through a group of licensed independent retail and wholesale brokers. Its Reinsurance segment provides casualty reinsurance for third party liability exposures; marine and aviation; motor reinsurance, whole account multi-line treaties, cyber, trade credit, surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. This segment markets its reinsurance products through brokers. The company's Mortgage segment offers direct mortgage insurance and mortgage reinsurance. Arch Capital Group Ltd. founded in 1995 and is based in Pembroke, Bermuda."
ACGLO,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. The company's Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile and inland marine products. It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employer's liability; contract and commercial surety coverages; and collateral protection, debt cancellation, and service contract reimbursement products. This segment markets its products through a group of licensed independent retail and wholesale brokers. Its Reinsurance segment provides casualty reinsurance for third party liability exposures; marine and aviation; motor reinsurance, whole account multi-line treaties, cyber, trade credit, surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. This segment markets its reinsurance products through brokers. The company's Mortgage segment offers direct mortgage insurance and mortgage reinsurance. Arch Capital Group Ltd. founded in 1995 and is based in Pembroke, Bermuda."
ACHC,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. It offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers, eating disorder facilities, and outpatient clinics. The company was incorporated in 2005 and is headquartered in Franklin, Tennessee."
ACHL,"Achilles Therapeutics Plc, a clinical stage immuno-oncology biopharmaceutical company, develops precision T cell therapies to treat various solid tumors. The company's lead product candidates include CHIRON, which is in Phase I/IIa clinical trial for use in the treatment of advanced non-small cell lung cancer; and THETIS, a product candidate in Phase I/IIa clinical trial for use in the treatment of metastatic or recurrent melanoma. The company was formerly known as Achilles TX Limited and changed its name to Achilles Therapeutics Plc in February 2021. Achilles Therapeutics Plc was founded in 2016 and is headquartered in London, the United Kingdom."
ACHV,"Achieve Life Sciences, Inc., a clinical-stage pharmaceutical company, develops and commercializes cytisinicline for smoking cessation and nicotine addiction in Canada, the United States, and the United Kingdom. The company offers cytisinicline, a plant-based alkaloid that interacts with nicotine receptors in the brain that reduce the severity of nicotine withdrawal symptoms. It has license agreements with Sopharma AD and University of Bristol. Achieve Life Sciences, Inc. is based in Vancouver, Canada."
ACIU,"AC Immune SA, a clinical stage biopharmaceutical company, discovers, designs, and develops medicines and diagnostic products for the prevention and treatment of neurodegenerative diseases associated with protein misfolding. Its SupraAntigen and Morphomer platforms are designed to generate vaccines, antibodies, and small molecules, which selectively interact with misfolded proteins that are common in a range of neurodegenerative diseases. The company is developing Crenezumab, a humanized, conformation-specific monoclonal antibody, which is in Phase II clinical studies trial for the treatment of Alzheimer's disease (AD). It is also developing ACI-24, an anti-Abeta vaccine candidate that is in Phase II clinical study for AD, as well as completed Phase Ib clinical study for Down syndrome; ACI-35, an anti-Tau vaccine candidate that is in Phase Ib/2a clinical study; and Tau- positron emission tomography (PET) imaging tracer, which is in Phase II clinical study. In addition, the company is researching and developing small molecule Tau aggregation inhibitors for AD and NeuroOrphan indications. Further, it has discovery and preclinical stage molecules targeting range of neurodegenerative diseases, which include diagnostics targeting TDP-43, alpha-synuclein, and NLRP3. AC Immune SA has license agreements and collaborations with Genentech, Inc.; Biogen International GmbH; Janssen Pharmaceuticals, Inc.; Life Molecular Imaging SA; Eli Lilly and Company; and WuXi Biologics. The company was incorporated in 2003 and is headquartered in Lausanne, Switzerland."
ACIW,"ACI Worldwide, Inc., a software company, develops, markets, installs, and supports a range of software products and solutions for facilitating digital payments in the United States and internationally. The company operates in three segments: Banks, Merchants, and Billers. The company offers ACI Acquiring, a merchant management system to deliver digital innovation, handle new payment methods, and maximize margins; ACI Issuing, a digital payment issuing solution for new payment offering and enable channels, services, endpoints, and integrations from a single cloud-based or on-premises solution; and ACI Enterprise Payments Platform that provides payment processing and orchestration capabilities for digital payments. It also provides ACI Low Value Real-Time Payments, a platform for processing real-time payments; and ACI High Value Real-Time Payments, a payments engine that offers multi-bank, multi-currency, 24x7 payment processing, and SWIFT messaging. In addition, the company offers ACI Omni Commerce, a scalable, omni-channel payment processing platform; ACI Secure eCommerce solution; ACI Fraud Management, a real-time approach to fraud management; and ACI Speedpay, an integrated suite of digital billing, payment, disbursement, and communication services. The company offers electronic bill presentment and payment services to consumer finance, insurance, healthcare, higher education, utility, government, and mortgage sectors; implementation services, include product installations and configurations, and custom software modifications; and business and technical consultancy, on-site support, product education, and testing services, as well as distributes or acts as a sales agent for software developed by third parties. It markets its products under the ACI Worldwide brand. The company was formerly known as Transaction Systems Architects, Inc. and changed its name to ACI Worldwide, Inc. in July 2007. The company was founded in 1975 and is based in Coral Gables, Florida."
ACLS,"Axcelis Technologies, Inc. designs, manufactures, and services ion implantation and other processing equipment used in the fabrication of semiconductor chips in the United States, Europe, and Asia Pacific. The company offers high energy, high current, and medium current implanters for various application requirements. It also provides aftermarket lifecycle products and services, including used tools, spare parts, equipment upgrades, maintenance services, and customer training. It sells its equipment and services to semiconductor chip manufacturers through its direct sales force. Axcelis Technologies, Inc. was founded in 1978 and is headquartered in Beverly, Massachusetts."
ACLX,"Arcellx, Inc., a clinical-stage biotechnology company, engages in the development of various immunotherapies for patients with cancer and other incurable diseases. The company's lead ddCAR product candidate is CART-ddBCMA, which is in phase 2 clinical trial for the treatment of patients with relapsed or refractory (r/r) multiple myeloma (MM). It is also developing ACLX-001, an immunotherapeutic combination composed of ARC-T cells and bi-valent SparX proteins targeting BCMA to treat r/r MM; ACLX-002 and ACLX-003 for treating r/r acute myeloid leukemia (AML) and myelodysplastic syndrome (MDS); and product candidates for solid tumor programs. It has strategic alliance with Kite Pharma, Inc. to co-develop and co-commercialize CART-ddBCMA. The company was formerly known as Encarta Therapeutics, Inc. and changed its name to Arcellx, Inc. in January 2016. Arcellx, Inc. was incorporated in 2014 and is headquartered in Gaithersburg, Maryland."
ACMR,"ACM Research, Inc., together with its subsidiaries, develops, manufactures, and sells single-wafer wet cleaning equipment for enhancing the manufacturing process and yield for integrated chips worldwide. It offers space alternated phase shift technology for flat and patterned wafer surfaces, which employs alternating phases of megasonic waves to deliver megasonic energy in a uniform manner on a microscopic level; timely energized bubble oscillation technology for patterned wafer surfaces at advanced process nodes, which provides cleaning for 2D and 3D patterned wafers; Tahoe technology for delivering cleaning performance using less sulfuric acid and hydrogen peroxide; and electro-chemical plating technology for advanced metal plating. The company markets and sells its products under the Ultra C brand name through direct sales force and third-party representatives. ACM Research, Inc. was incorporated in 1998 and is headquartered in Fremont, California."
ACNB,"ACNB Corporation, a financial holding company, offers banking, insurance, and financial services to individual, business, and government customers in the United States. The company provides checking, savings, and money market deposit accounts, as well as time deposits and debit cards. It also offers commercial lending products, such as commercial mortgages, real estate development and construction loans, accounts receivable and inventory financing, and agricultural and governmental loans; consumer lending products, including home equity loans and lines of credit, automobile and recreational vehicle loans, manufactured housing loans, and personal lines of credit; and mortgage lending programs include personal residential mortgages, and residential construction and investment mortgage loans. In addition, the company provides other services that are related to testamentary trusts, life insurance trusts, charitable remainder trusts, guardianships, powers of attorney, custodial accounts, and investment management and advisory accounts; and retail brokerage services. Further, it acts as a trustee to invest in, protect, manage, and distribute financial assets. Additionally, the company offers property and casualty, health, life, and disability insurance products to commercial and individual clients; and online, telephone, and mobile banking, as well as automated teller machine services. ACNB Corporation was founded in 1857 and is headquartered in Gettysburg, Pennsylvania."
ACON,"Aclarion, Inc., a healthcare technology company, leverages for Magnetic Resonance Spectroscopy (MRS) in the United States. The company develops NOCISCAN Post-Processor suite of software applications comprising NOCICALC that receives the raw un-processed NOCISCAN MRS exam data and post-processes that raw data into final spectra and performs various degenerative pain biomarker; and NOCIGRAM, a clinical decision support software. The company was formerly known as Nocimed, Inc. and changed its name to Aclarion, Inc. in December 2021. Aclarion, Inc. was founded in 2008 and is based in Broomfield, Colorado."
ACOR,"Acorda Therapeutics, Inc., a biopharmaceutical company, develops and commercializes therapies for neurological disorders in the United States. The company markets Ampyra (dalfampridine), an oral drug to improve walking in adults with multiple sclerosis; and Inbrija, an inhaled levodopa for intermittent treatment of OFF periods in people with Parkinson's disease treated with a carbidopa/levodopa regimen. It also markets Ampyra as Fampyra in Europe, Asia, and the Americas. The company's product pipeline includes Cimaglermin alfa (GGF2), a member of neuregulin growth factor family which is in Phase 1 clinical trials for recovery of neurological injury, as well as to enhance heart function in animal models of heart failure. In addition, it has collaboration and license agreement with Biogen Inc. for the development and commercialization of Ampyra. The company was incorporated in 1995 and is headquartered in Pearl River, New York."
ACRS,"Aclaris Therapeutics, Inc. operates a clinical-stage biopharmaceutical company, develops novel drug candidates for immune-inflammatory diseases in the United States. It operates through two segments, Therapeutics and Contract Research. The Therapeutics segment is involved in identifying and developing innovative therapies to address significant unmet needs for immuno-inflammatory diseases. The Contract Research segment offers laboratory services. The company develops Zunsemetinib, an MK2 inhibitor for the treatment of moderate to severe rheumatoid and Psoriatic arthritis, and Hidradenitis suppurativa; and ATI-1777, a soft JAK 1/3 inhibitor for the treatment of moderate to severe atopic dermatitis. It develops ATI-2138, an ITK/TXK/JAK3 inhibitor as a potential treatment for T cell-mediated autoimmune diseases; Gut-Biased Program for inflammatory bowel disease; and ATI-2231, an oral MK2 inhibitor for the treatment of pancreatic and metastatic breast cancer. Aclaris Therapeutics, Inc. was incorporated in 2012 and is headquartered in Wayne, Pennsylvania."
ACRV,"Acrivon Therapeutics, Inc., a clinical stage biopharmaceutical company, engages in developing oncology medicines for the patients whose tumors are predicted to be sensitive to each specific medicine by utilizing its proteomics-based patient responder identification platform. The company's Acrivon Predictive Precision Proteomics, a precision medicine platform enables the creation of drug specific proprietary OncoSignature companion diagnostics that are used to identify the patients to benefit from its drug candidates. Its lead clinical candidate is ACR-368, a selective small molecule inhibitor targeting CHK1 and CHK2, which is in a potentially registrational Phase 2 trial across various tumor types, including platinum-resistant ovarian, endometrial, and bladder cancer. The company is also developing its preclinical stage pipeline programs targeting critical nodes in the DNA damage response and cell cycle regulation pathways, such as WEE1, a protein kinase and PKMYT1, a protein serine/threonine kinase. The company was incorporated in 2018 and is based in Watertown, Massachusetts."
ACRX,"AcelRx Pharmaceuticals, Inc., a specialty pharmaceutical company, focuses on the development and commercialization of therapies for the treatment of acute pain. Its lead product candidate is DSUVIA and DZUVEO, a 30 mcg sufentanil sublingual tablet for the treatment of moderate-to-severe acute pain. The company develops ZALVISO, a patient-controlled analgesia system that allows hospital patients with moderate-to-severe acute pain to self-dose with sufentanil sublingual tablets to manage their pain; ARX-02, which is in Phase 2 clinical trial for the treatment of cancer breakthrough pain in opioid-tolerant patients; and ARX-03, which is in Phase 2 clinical trial for the treatment of procedural anxiety and acute pain. Its product candidates also include Niyad, a regional anticoagulant for the extracorporeal circuit; and LTX-608, a nafamostat formulation for direct IV infusion being explored as an investigational product for antiviral treatment of COVID, acute respiratory distress syndrome, disseminated intravascular coagulation, and acute pancreatitis. The company also develops Fedsyra, an ephedrine pre-filled syringe that contains 10 ml of a solution of 3 mg/ml ephedrine hydrochloride for injection; and phenylephrine, a phenylephrine pre-filled syringe, which contains 10 ml of a solution of 50 mcg/ml phenylephrine for injection. The company was formerly known as SuRx, Inc. and changed its name to AcelRx Pharmaceuticals, Inc. in August 2006. AcelRx Pharmaceuticals, Inc. was incorporated in 2005 and is headquartered in Hayward, California."
ACST,"Acasti Pharma Inc. engages in the development and commercialization of pharmaceutical products for rare and orphan diseases in Canada. The company's lead product candidate is the GTX-104, an intravenous infusion to treat subarachnoid hemorrhage. It also develops GTX-102, an oral mucosal spray for the treatment of ataxia-telangiectasia; and GTX-101, a topical bioadhesive film-forming bupivacaine spray for postherpetic neuralgia. The company was incorporated in 2002 and is headquartered in Laval, Canada."
